#ID	TYPE	CLASS	INSTANCE_NAME	DESCR	EXT_LINK	COMMENT	TIME	BEGINTERVAL	ENDINTERVAL	N.ANN_DOC.USER	N.ANN_DOC.ALL	HAS_PARTS
SPE39739039953421276	EVENT	SPEECH_COGNITIVE	Announce-EHU	Ford announced Windsor closure			XXXX-XX-XX			2	2	ORG37406423869806668_Arg0
OTH57386000780569749	EVENT	OTHER	lost S13-SE - (Steve Jobs)	Those of us who have been fortunate enough to know and work with Steve have lost a dear friend and an inspiring mentor .	lose.02		2011-10-05			1	1	PER19274271332322852_Arg1
FIN39477479261434299	ENTITY	FIN	Lowest cost	Unit operation cost of Ryanair						0	1	
ORG45374615259523942	ENTITY	ORG	loss-making business							1	1	
OTH21005783661211376	EVENT	OTHER	been out	to be out (on sale)						0	1	
OTH37488541526369848	EVENT	OTHER	connect-iPhone4-EHU	iPhone connects via wifi				2010-06-07		0	0	PRO36907219772334161_Arg2
OTH36541527110978366	EVENT	OTHER	slated VUA	slated iPhone 4			2010-06-24			0	1	PRO36276501830687088_Arg1
OTH39911301175593264	EVENT	OTHER	modernise VUA	Aer Lingus modernising its fleet			2007-06-09			0	1	ORG27734136303656824_Arg0 PRO39493627415388717_Arg1
ORG39475353121778559	ENTITY	ORG	Different airlines	Chinese airlines						0	1	
FIN39486420201433790	ENTITY	FIN	4300 jobs	Airbus jobs cut in France						0	1	
PRO39481006893012912	ENTITY	PRO	Boeing 717 airliner		http://dbpedia.org/page/Boeing_717					0	1	
OTH39827959723599331	EVENT	OTHER	Pay-EHU	GM pays pensions			2006-01-27			1	1	ORG37406424148086837_Arg0
OTH40078948739170947	EVENT	OTHER	skew VUA	Boeing claiming USAF to Northrop			2008-02-29			0	1	ORG37154720392556611_Arg0
PRO39477509645841750	ENTITY	PRO	5 new 737 aircraft	for Ryanair						0	1	
SPE39565506749336318	EVENT	SPEECH_COGNITIVE	Require-EHU	Congress require GM Chrysler			XXXX-XX-XX			1	1	ORG37406424291734298_Arg2
OTH39832553205866362	EVENT	OTHER	Sale-EHU	GM Canadian vehicle sales			2009-XX-XX			1	1	ORG37406424148086837_Arg0
OTH39668537018375465	EVENT	OTHER	dominated VUA	disbute dominated Paris Air Show 			2005-06-13			0	1	
OTH39586691437375297	EVENT	OTHER	lease VUA	deal to lease 100 aircraft from Boeing				XXXX-XX-XX		0	1	PRO39474364709951816_Arg1 ORG37154719725500990_Arg2
OTH57182067227856522	EVENT	OTHER	held (19 percent)	Apple's iTunes held 19 percent of the U.S. market						0	0	PRO19274271475601598_Arg0
FIN45387299361454054	ENTITY	FIN	dealership franchises							1	1	
OTH40784321934234438	EVENT	OTHER	gauge	dow is used to gauge		MS: no er	XXXX-XX-XX			0	1	FIN39323676120351079_Arg2
FIN44167661667484280	ENTITY	FIN	stock prices		http://dbpedia.org/resource/Share_price	GEN?				0	2	
FIN47045359275125495	ENTITY	FIN	GM's package							1	1	
PRO45388585944101069	ENTITY	PRO	plant - GM							1	1	
OTH40093712979376583	EVENT	OTHER	unveil VUA	Boeing unveiled 787			2007-07-08			0	0	ORG37154719725500990_Arg0 PRO37154719263852456_Arg1 LOC27733488933202457_Argm-LOC
OTH40444076935944847	EVENT	OTHER	remain 23 february 2009 nasdaq	nasdaq remained 23 february 2009		MS: no er	2009-02-23			0	1	FIN39324663297288769_Arg1
OTH57304939497529739	EVENT	OTHER	unveiled S7-SE - (Steve Jobs)	Apple CEO Steve Jobs unveiled the device by walking onto the stage and taking the iPhone out of his jeans pocket .	unveil.01		2007-01-10			1	1	PER19274271332322852_Arg0
PRO47186716679661815	ENTITY	PRO	iPhone 4 and iOS 4							0	1	
LOC46393123475737335	ENTITY	LOC	Detroit		http://dbpedia.org/resource/Detroit					1	1	
OTH39651328739282465	EVENT	OTHER	seat VUA	787 will seat 200-300 people				XXXX-XX-XX		0	2	PRO37154719263852456_Arg0
ORG37406423743094661	ENTITY	ORG	Fiat	Fiat	http://dbpedia.org/resource/Fiat	centroid entity				3	3	
SPE39051852305873956	EVENT	SPEECH_COGNITIVE	Describe-EHU	Obama described hardship			2009-06-01			1	1	PER37406424967115208_Arg0
FIN45379912795619839	ENTITY	FIN	pay of Japanese companies							1	1	
PRO39493652612258562	ENTITY	PRO	Short-haul aircrafts	Airbus aircraft						0	1	
PER37406424967115208	ENTITY	PER	Barack Obama	Barack Obama	http://dbpedia.org/resource/Barack_Obama	centroid entity				4	4	
OTH39657508401482341	EVENT	OTHER	enter VUA	A380 enters service			2007-XX-XX			0	3	PRO37154719590532628_Arg0
OTH39586882618092159	EVENT	OTHER	proposal VUA	to lease tankers from Boeing				XXXX-XX-XX		0	1	
OTH39653434222060906	EVENT	OTHER	Release-EHU	Chrysler released list			2009-05-14			1	1	ORG37406423422624299_Arg0
SPE57367831369729607	EVENT	SPEECH_COGNITIVE	announced S14-SE - (Steve Jobs)	 Jobs announced an updated MacBook Air series of laptops , on sale now .	announce.01		2010-10-20			1	1	PER19274271332322852_Arg0
ORG19274271187160719	ENTITY	ORG	APPLE	Apple	http://dbpedia.org/resource/Apple_Inc.	centroid entity				1	39	
FIN44084625053963775	ENTITY	FIN	asian stock markets			no er				0	2	
OTH39741273291236057	EVENT	OTHER	problems VUA	A380 delay				XXXX-XX-XX		0	1	
OTH40643788271333979	EVENT	OTHER	gain S&P and Dow 30 march 2009	S&P 500 and Dow gained		MS: no er		2009-03-30		0	1	FIN39325939269459429_Arg1 FIN39323676120351079_Arg1
OTH40007770120739365	EVENT	OTHER	deal VUA	recent deals Airbus			XXXX-XX-XX			0	1	
SPE57187534893007553	EVENT	SPEECH_COGNITIVE	praised S6-SE - (Steve Jobs - iPhone 4)	The new iPhone was praised by Jobs as the biggest leap we 've taken since the original iPhone 	praise.01		2010-06-07			1	1	PRO36907219772334161_Arg1 PER19274271332322852_Arg0
OTH39923711525558557	EVENT	OTHER	drop	NIKKEI dropped 9 sep 08			2008-10-09			0	1	FIN39755153334854979_Arg1
FIN43996441595284186	ENTITY	FIN	mortgage loan	mortgage	http://dbpedia.org/resource/Mortgage_loan					0	1	
FIN45388042835765340	ENTITY	FIN	financial aid							1	1	
FIN47047203004814281	ENTITY	FIN	the Canadian economy							1	1	
LOC43998085463520095	ENTITY	LOC	Japan		http://dbpedia.org/resource/Japan					0	4	
OTH40450698783472352	EVENT	OTHER	drop 17 september 2008 ftse	ftse dropped 17 september 2008 		MS: no er	2008-09-17			0	2	FIN39676646219701103_Arg1
OTH39757077833580632	EVENT	OTHER	close	NIKKEI closed at a low 18 sep 08		MS: no er	2008-09-18			0	1	FIN39755153334854979_Arg1
FIN45387237066281632	ENTITY	FIN	GM expenditures							1	1	
SPE39841428879398357	EVENT	SPEECH_COGNITIVE	Report-EHU	GM reports 6bil loss			2009-05-07			1	1	ORG37406424148086837_Arg0
PRO47182813811567274	ENTITY	PRO	Macbook		http://dbpedia.org/resource/MacBook					0	1	
PRO55735156504893551	ENTITY	PRO	Apple logo	Apple logo						0	2	
OTH40185476940923580	EVENT	OTHER	Offer-EHU	GM offer termination dealers			XXXX-XX-XX			1	1	ORG37406424148086837_Arg0
SPE39830926892439402	EVENT	SPEECH_COGNITIVE	Say-EHU	GM says need 30bill			2009-02-18			1	1	ORG37406424148086837_Arg0
PRO39397322869808184	ENTITY	PRO	twin-deck aircraft	aircraft type		no er				0	1	
PER39494574240335139	ENTITY	PER	500 guests	in Toulouse						0	1	
LOC43998397442057492	ENTITY	LOC	Wyoming	USA	http://dbpedia.org/resource/Wyoming					0	1	
OTH40646479077729371	EVENT	OTHER	loss 17 march 2011 ftse	ftse's loss 17 march 2011		MS: no er				0	1	FIN39676646219701103_Arg1
ORG27743648429162104	ENTITY	ORG	McDonnell Aircraft Corporation		http://dbpedia.org/resource/McDonnell_Aircraft					0	1	
FIN44152585775576774	ENTITY	FIN	Dow Jones Industrial Average market			no er				0	1	
SPE40012242450436873	EVENT	SPEECH_COGNITIVE	deny VUA	USAF denied job factor			2008-03-01			0	1	ORG37154720392556611_Arg0
OTH40816845595573330	EVENT	OTHER	fell 23 february 2009 dow	dow fall 23 february 2009		MS: no er	2009-02-23			0	1	FIN39323676120351079_Arg1
SPE40079278308187249	EVENT	SPEECH_COGNITIVE	request VUA	GAO called for re-run tanker bid			2008-06-18			0	1	ORG27981991098616896_Arg0
OTH41390388449537480	EVENT	OTHER	Receive-EHU	GM, Chrysler received US$ 17.4 billion			2008-12-XX			1	1	ORG37406424148086837_Arg0 ORG37406424291734298_Arg0 ORG37406423422624299_Arg0
GRA21004299979991214	EVENT	GRAMMATICAL	have	iPhone4 has a new screen						0	1	
OTH39913310676543994	EVENT	OTHER	intend VUA	Ryanair intends to end transatlantic service				XXXX-XX-XX		0	1	ORG37154720662549110_Arg0
OTH39912163955379235	EVENT	OTHER	purchase VUA	Aer Lingus purchases new fleet			2007-06-09			0	1	ORG27734136303656824_Arg0 PRO39493517060920560_Arg1
FIN39493485194331060	ENTITY	FIN	Stock markets	British and Irish						0	1	
OTH40543898964309301	EVENT	OTHER	drop	US stock markets dropped to 12-year lows		no er	2009-03-05			0	1	FIN39326930888384754_Arg1
OTH39760476989374089	EVENT	OTHER	bid VUA	Boeing USAF contract			XXXX-XX-XX			0	1	ORG27736133055981313_Arg0 ORG27736154624392526_Arg0 ORG27736196070201058_Arg0 PRO39489269081499390_Arg1
OTH40444560984745971	EVENT	OTHER	remain 3 april 2009 NIKKEI	NIKKEI remained 3 april 2009		MS: no er	2009-04-03			0	1	FIN39755153334854979_Arg1
ORG55895983009005716	ENTITY	ORG	Apple division	division that sells iPhone						0	1	
PRO55739851457142340	ENTITY	PRO	iPod Nano and iTunes phone	iPod Nano and iTunes phone		CONJ				0	1	
OTH40012892908022737	EVENT	OTHER	commitment VUA	USAF recapitalize fleet 				XXXX-XX-XX		0	1	ORG37154720392556611_Arg0
PER39397028910411566	ENTITY	PER	555 people	people in Airbus A380	no er					0	1	
PRO27743926673867031	ENTITY	PRO	McDonnell Douglas DC-9 aircraft		http://dbpedia.org/resource/McDonnell_Douglas_DC-9					0	1	
ORG56093443932553403	ENTITY	ORG	Cisco and Apple Inc.	Cisco and Apple Inc.		CONJ				0	1	
OTH40796504407644023	EVENT	OTHER	continue VUA	Airbus Asia tour			2007-09-01			0	1	ORG37154719430036883_Arg0
FIN45379890707582984	ENTITY	FIN	Big Three bailout							1	1	
PRO56086383404421074	ENTITY	PRO	picture of closed theater cutains	picture on the invitation to an Apple event 2005						0	1	
ORG45380017412943428	ENTITY	ORG	US Senate		http://dbpedia.org/resource/United_States_Senate					2	2	
LOC27584708566935027	ENTITY	LOC	EU		http://dbpedia.org/page/European_Union					0	2	
OTH39656489704316456	EVENT	OTHER	fly VUA	first flight A380			2005-04-27			0	2	PRO37154719590532628_Arg1
ORG55735308056204929	ENTITY	ORG	Apple and AT&amp;T	Apple and AT&amp;T		CONJ				0	1	
PRO47184617051989699	ENTITY	PRO	iLife	suite of software applications for Mac OS X	http://dbpedia.org/resource/ILife					0	2	
PRO55725795171162773	ENTITY	PRO	a 3.5 inch LCD touchscreen display	a 3.5 inch LCD touchscreen display						0	1	
OTH40803131539499803	EVENT	OTHER	large fall start of day 10 october 2008 dow	dow's fall at the start of 10 october 2008		MS: no er	2008-10-10			0	2	FIN39323676120351079_Arg0
OTH40543897927894908	EVENT	OTHER	Sell-EHU	GM sold units			2010-02-XX			1	1	ORG37406424148086837_Arg0
PER25304436893090468	ENTITY	PER	Bob Riley							0	0	
SPE40451595889014887	EVENT	SPEECH_COGNITIVE	Ask-EHU	Mulally asked how go			2006-10-XX			1	1	PER37406424840192289_Arg0
SPE39761604587705051	EVENT	SPEECH_COGNITIVE	submit VUA	Boeing submit outside verification			XXXX-XX-XX			0	1	ORG37154719725500990_Arg0
OTH39224067263442142	EVENT	OTHER	Make-EHU	Daimler Chrysler made DaimlerChrysler			1998-XX-XX			1	1	ORG37406423582812360_Arg1
SPE39044583747494554	EVENT	SPEECH_COGNITIVE	Say-EHU	Mulally said facing challenges			XXXX-XX-XX			1	1	PER37406424840192289_Arg0
ORG39475377327774025	ENTITY	ORG	Six airlines	6 Chinese airlines						0	1	
PRO40084501702979674	ENTITY	PRO	crashed A330	the one that crashed into Atlantic Ocean						0	1	
OTH39911032498549440	EVENT	OTHER	float VUA	Aer Lingus was floated on stock markets			2006-09-XX			0	1	ORG27734136303656824_Arg1 FIN39493485194331060_Argm-LOC
SPE57303624236615454	EVENT	SPEECH_COGNITIVE	announced S14-SE - (Steve Jobs)	He also announced that QuickTime 7 would be soon available for Windows .	announce.01		2005-06-06			1	1	PER19274271332322852_Arg0
OTH40434935156828999	EVENT	OTHER	lose 5 march 2009 nasdaq	nasdaq lost 5 march 2009		MS: no er	2009-03-05			0	1	FIN39324663297288769_Arg1
SPE40082085069533987	EVENT	SPEECH_COGNITIVE	say VUA	China Eastern said it signed contract Airbus			2009-06-18			0	1	ORG37154719868821189_Arg0
OTH39582816979497254	EVENT	OTHER	test flight	VUA of A380			XXXX-XX-XX			0	0	PRO37154719590532628_Arg1
OTH40889632056460481	EVENT	OTHER	win VUA	Northrop and EADS win order from USAF			2008-02-XX			0	0	ORG37154720130514282_Arg0 ORG37154720003835631_Arg0 ORG37154720392556611_Arg3 ORG37154719725500990_Argm-OTHER
OTH41389474407311180	EVENT	OTHER	Receive-EHU	Chrysler already received four bilion			XXXX-XX-XX			1	1	ORG37406423422624299_Arg0
OTH21011410700483050	EVENT	OTHER	connect	FaceTime with iPhone						0	1	
OTH39745736112186164	EVENT	OTHER	Have-EHU	Ford had debt			2009-XX-XX			1	1	ORG37406423869806668_Arg0
SPE39655324411022347	EVENT	SPEECH_COGNITIVE	announced VUA	777 was announced Feb 2000			2000-02-XX			0	1	PRO37154720946869865_Arg1
PER40171266213288471	ENTITY	PER	VIP guests	people attended Airbus launch						0	1	
OTH40542616260647795	EVENT	OTHER	re-open	US stock markets re-opening after 2001-09-11		no er	2001-XX-XX			0	1	FIN39326930888384754_Arg1
OTH39755769139448753	EVENT	OTHER	supply VUA	sub-contractors supply Airbus				XXXX-XX-XX		0	1	ORG37154719430036883_Arg2
OTH39303974789385770	EVENT	OTHER	Buy-EHU	Fiat bought Chrysler stake			2009-XX-XX			1	1	ORG37406423743094661_Arg0 ORG37406423422624299_Argm-LOC
OTH39912968153303955	EVENT	OTHER	offer VUA	Airbus offered discounts Aer Lingus			XXXX-XX-XX			0	1	ORG37154719430036883_Arg0
PRO47184730394367165	ENTITY	PRO	internet pulblication software	software included in iLife						0	1	
OTH57185094475631341	EVENT	OTHER	dropped S15-SE - (iPhone 4)	the percentage of calls dropped on the iPhone 4 was slightly greater than the percentage of calls dropped on the 3GS 	drop.01		XXXX-XX-XX			1	1	
OTH57125519577225642	EVENT	OTHER	fill S8-SE (Beatle Apple Corps)	prompting Apple Corps to file suit again in 1989 .	file.01		1989			1	1	ORG19274272335363621_Arg0
OTH40459462411204363	EVENT	OTHER	close 12 october 2009 ftse	ftse closed 12 october 2009		MS: no er	2009-10-12			0	1	FIN39676646219701103_Arg1
PER39476199612922914	ENTITY	PER	301 passengers	Number of passengers possible on a Boeing 777						0	1	
PER55735512998513962	ENTITY	PER	many buyers of iPhone 4	many buyers of iPhone 4						0	1	
PRO39496888809299967	ENTITY	PRO	14 new Airbus Airliners	supplied by AirTanker						0	1	
PER43996974921383873	ENTITY	PER	US lenders	US lenders	http://dbpedia.org/resource/Creditor					0	1	
OTH40538060066332970	EVENT	OTHER	Work-EHU	GM work			2009-02-18			1	1	ORG37406424148086837_Arg0
FIN44178244692658833	ENTITY	FIN	index	indices that suffered from large falls - 2008-10-24		no er				0	1	
OTH37246191821054695	EVENT	OTHER	placement-iPhone4-EHU	placement of the antenna				XXXX-XX-XX	XXXX-XX-XX	1	1	PRO36907219772334161_Argm-LOC
LOC51919899879942766	ENTITY	LOC	Washington D.C., USA		http://dbpedia.org/resource/Washington,_D.C.					0	1	
OTH40815526751072818	EVENT	OTHER	lost 19 february 2009 dow	dow lost 19 february 2009 		MS: no er	2009-02-19			0	1	FIN39323676120351079_Arg1
OTH57356631545414411	EVENT	OTHER	undergo-SE - (Steve Jobs)	he had undergone a liver transplant - CEO underwent liver transplant surgery	undergo.01		2009			2	2	PER19274271332322852_Arg0
OTH40105639730580738	EVENT	OTHER	receive VUA	ANA 787			2011-09-XX			0	1	ORG27984198278053004_Arg0 PRO37154719263852456_Arg1
OTH39648652582775507	EVENT	OTHER	Olympic Games 2008		http://dbpedia.org/page/2008_Summer_Olympics			2008-08-08	2008-08-24	0	1	
OTH40430443718064773	EVENT	OTHER	was 18 september 2008 nasdaq	nasdaq was up 18 september 2008		MS: no er	2008-09-18			0	1	FIN39324663297288769_Arg1
OTH39647458694943358	EVENT	OTHER	work VUA	USAF was ordered to work with Boeing				XXXX-XX-XX		0	1	ORG37154720392556611_Arg0 ORG37154719725500990_Arg3
OTH40780258217382277	EVENT	OTHER	deal VUA	between Aeroflot and Boeing				2007-06-10		0	1	
OTH41485629502194601	EVENT	OTHER	71526-12-policy				1990-XX-XX			0	1	ORG37154719725500990_Arg0
ORG44081981795279137	ENTITY	ORG	Bank of Canada		http://dbpedia.org/resource/Bank_of_Canada					0	1	
FIN45378095958232419	ENTITY	FIN	Automobile Craiova share							1	1	
PRO55893760953193503	ENTITY	PRO	chatrooms and bulletin boards			CONJ				0	1	
FIN44168215648930637	ENTITY	FIN	money	cash, liquidity	http://dbpedia.org/resource/Money	GEN				2	5	
SPE39587025627091114	EVENT	SPEECH_COGNITIVE	expose VUA	mails expose Boeing USAF contract				XXXX-XX-XX		0	1	PRO39474701485860973_Arg0
PRO56154880489219671	ENTITY	PRO	Intel Core Duo processors an features	processor and features of the Macbook line		CONJ				0	1	
FIN43998655660775540	ENTITY	FIN	Hang Seng index	Hong Kong stock market index	http://dbpedia.org/resource/Hang_Seng_Index					0	1	
FIN44168057447023860	ENTITY	FIN	currency swap	swap line	http://dbpedia.org/resource/Currency_swap					0	1	
PER45820608302115029	ENTITY	PER	most analysts							1	1	
SPE40453755827900684	EVENT	SPEECH_COGNITIVE	Conclude-EHU	Obama concluded USA return			2009-06-01			1	1	PER37406424967115208_Arg0
OTH40460063978655986	EVENT	OTHER	finish 12 october 2009 ftse	ftse to finish 12 october 2009		MS: no er	2009-10-12			0	1	FIN39676646219701103_Arg1
OTH57298821478258692	EVENT	OTHER	fired S7-SE - (Steve Jobs)	One year later he was fired from the company and he founded NeXT .	fire.02		1985			1	1	PER19274271332322852_Arg1
ORG44061513211425458	ENTITY	ORG	Russian government's Federal Service	Federal Service for the Financial Markets		no er				0	1	
OTH40446382912435639	EVENT	OTHER	fall 6 may 2010 nasdaq	nasdaq fell 6 may 2010		MS: no er	2010-05-06			0	1	FIN39324663297288769_Arg1
PRO55892499292565542	ENTITY	PRO	multi-person audio / video / text messaging client iChat	include in the Tiger release	http://dbpedia.org/resource/IChat					0	1	
PER47022868018710669	ENTITY	PER	a Romanian official							1	1	
PRO55735766604349417	ENTITY	PRO	Apple store	Apple store	http://dbpedia.org/resource/Apple_Store					0	2	
ORG44086239020724402	ENTITY	ORG	World Bank	United Nations international financial institutions	http://dbpedia.org/resource/World_Bank					0	1	
SPE39044042063875878	EVENT	SPEECH_COGNITIVE	Say-EHU	Mulally says lackluster move			2007-02-09			1	1	PER37406424840192289_Arg0
OTH40515125347437561	EVENT	OTHER	Protection-EHU	Chapter 11 protection				2009-06-01		3	3	PER37406424435056473_Arg2 ORG37406424148086837_Arg1
PRO55739424832388836	ENTITY	PRO	iTunes phone	iTunes phone						0	1	
PRO47038341080653202	ENTITY	PRO	cars and trucks							1	1	
OTH40795358312829613	EVENT	OTHER	decide VUA	Airbus to remove winglets			2007-09-01			0	1	ORG37154719430036883_Arg0
OTH40455637135004600	EVENT	OTHER	lose 10 october 2008 ftse	ftse losing 10 october 2008		MS: no er	2008-10-10			0	1	FIN39676646219701103_Arg1
SPE57384737822048493	EVENT	SPEECH_COGNITIVE	stated S6-SE - (Steve Jobs)	Jobs stated that his desire was to remain as chairman of the board .	state.01		2011-08-24			1	1	PER19274271332322852_Arg0
OTH40251404036729516	EVENT	OTHER	Surpass-EHU	Ford sales surpass GM			2010-02-XX			1	1	ORG37406424148086837_Arg1
OTH36642030819384611	EVENT	OTHER	holding	holding the iPhone 4 in different location				XXXX-XX-XX		0	0	
PRO39479921806360232	ENTITY	PRO	Engines	2 of the Rolls-Royce Trent 900 engines						0	1	
OTH41485093717500004	EVENT	OTHER	promising-VUA-Boeing Jobs				XXXX-XX-XX			0	1	ORG37154719725500990_Arg0
OTH40876724703376458	EVENT	OTHER	replace VUA	USAF choosing Boeing to replace the fleet			XXXX-XX-XX			0	1	ORG37154719725500990_Arg0
OTH39137372889148464	EVENT	OTHER	Outline-EHU	Henderson outlined plan			2009-06-01			1	1	PER37406425118763133_Arg0
OTH39675019383618831	EVENT	OTHER	tour	A380 tour in Asia			2005-11-11			0	1	PRO37154719590532628_Arg0 LOC27744500182773043_Argm-LOC LOC27744527297646588_Argm-LOC
PER45380972603675794	ENTITY	PER	Dana Perino		http://dbpedia.org/resource/Dana_Perino					1	1	
PRO39478493357915453	ENTITY	PRO	Up to 60 jets	order of Qatar						0	1	
OTH57471841035854620	EVENT	OTHER	unveiled-SE - (Steve Jobs)	Apple CEO Steve Jobs unveiled the new products 	unveil.01;release.01		2010-10-20			1	1	PER19274271332322852_Arg0 ORG19274271187160719_Arg0
OTH39668658787270185	EVENT	OTHER	fly VUA	Qatar will fly 2 A380's				2009-XX-XX		0	1	LOC27982530746170229_Argm-LOC PRO37154719590532628_Arg0
ORG27985022764478361	ENTITY	ORG	Qatar Airways		http://dbpedia.org/page/Qatar_Airways					0	1	
OTH40781285360194883	EVENT	OTHER	 end 10 august 2007 dow	dow ending the day 10 august 2007		MS: no er	2007-08-10			0	1	FIN39323676120351079_Arg1
OTH39649455675976671	EVENT	OTHER	purchase VUA	China buys 60 787s			2005-01-29			0	1	ORG39475377327774025_Arg0 PRO37154719263852456_Arg1
OTH39671899636677573	EVENT	OTHER	departure VUA	A380 first flight			2005-11-11			0	1	LOC27573268533170794_Argm-LOC PRO37154719590532628_Arg0
OTH39219670523928657	EVENT	OTHER	Issue-EHU	UAW issued statement			XXXX-XX-XX			2	2	ORG37406424696739278_Arg0
OTH40453941937803349	EVENT	OTHER	Ultimatum-EHU	Obama set ultimatum			XXXX-XX-XX			1	1	PER37406424967115208_Arg0
OTH39580271444167327	EVENT	OTHER	plans	Airbus unveiled plans for A380				2005-01-18		0	1	ORG37154719430036883_Arg0 PRO37154719590532628_Arg1
OTH39580107374768267	EVENT	OTHER	flight	Boeing 7e7 is aimed at a efficient flight				XXXX-XX-XX		0	1	PRO37154719263852456_Arg1
OTH40006208683962774	EVENT	OTHER	task VUA	EADS RAF replacing				2008-03-27		0	1	ORG27980583346961956_Arg2 ORG27980417931232897_Arg0
PER27985118657442008	ENTITY	PER	Noel Forgeard (CEO of EADS)		http://dbpedia.org/page/No%C3%ABl_Forgeard					0	1	
FIN44159529908035869	ENTITY	FIN	Japanese stocks							0	1	
OTH19803074651871447	EVENT	OTHER	hold	Apple recommend			2008-01-XX			0	3	
PRO47038827641950982	ENTITY	PRO	boxy cars							1	1	
OTH39669910639214007	EVENT	OTHER	received VUA	Boeing received more orders than Boeing				2005-XX-XX	2005-06-13	0	1	ORG37154719725500990_Arg0
OTH40792079731723284	EVENT	OTHER	has 17 september 2008 dow	dow has a value 17 september 2008		MS: no er	2008-09-17			0	2	FIN39323676120351079_Arg0
SPE41471658612496016	EVENT	SPEECH_COGNITIVE	61389-12-announcement				2007-02-28			0	1	
OTH40782979032714178	EVENT	OTHER	lose 19 october 2007 S&P 500	S&P 500 losing 19 october 2007		MS: no er	2007-10-19			0	1	FIN39325939269459429_Arg1
PER44178858062304293	ENTITY	PER	some people	people who say history tends to repeat itself		no er				0	1	
FIN47027865268705287	ENTITY	FIN	GM's voucher							1	1	
OTH39925200575300275	EVENT	OTHER	lose	NIKKEI has lost a quarter this month		MS: no er		2008-11-01	2008-11-18	0	1	FIN39755153334854979_Arg1
PRO46393827223730976	ENTITY	PRO	Sky and Astra							1	1	
OTH40178452104340232	EVENT	OTHER	Bankruptcy-EHU	GM bankruptcy			2009-06-01			3	3	ORG37406424148086837_Arg1
OTH40348693910144295	EVENT	OTHER	reach 21 aug 2009	S&P 500 reaching a level 21 august 2009		MS: no er	2009-08-21			0	1	FIN39325939269459429_Arg0
PRO55735872312924050	ENTITY	PRO	recording on the phone lines of Apple	recording on the phone lines of Apple						0	1	
OTH42682035620902626	EVENT	OTHER	end	nasdaq end the day at 1431.50		no er	2009-03-13			0	1	FIN39324663297288769_Arg1
PER39561598934496348	ENTITY	PER	The parent product team	of Boeing						0	1	
OTH40017898699721689	EVENT	OTHER	build VUA	USAF selected Northrop to build aircraft				XXXX-XX-XX		0	1	ORG37154720130514282_Arg0 PRO39499986437798429_Arg1
OTH40784141639336788	EVENT	OTHER	drag down	global stock markets dragged down by credit crisis - 2007-08-10		no er	2007-08-10			0	1	FIN40197049224228580_Arg1
OTH57194505869518909	EVENT	OTHER	produce-SE - (iPod)	 limits the volume produced from its iPod portable music players 	produce.01		2006-04-05			1	1	PRO19274272200451092_Arg0
OTH40819160449697675	EVENT	OTHER	gain 3 april 2009 dow	dow posted a gain 3 april 2009		MS: no er	2009-04-03			0	1	FIN39323676120351079_Arg1
OTH57380484155359152	EVENT	OTHER	absences S7-SE - (Steve Jobs)	the same move made in Jobs ' last two absences 	absence.01		2011-01-17			0	0	PER19274271332322852_Arg1
OTH40783560776526088	EVENT	OTHER	breakthrough VUA	technology 737			XXXX-XX-XX			0	1	
